职位标题,职位链接,公司名称,工作地点,薪资待遇,职位描述,职位类型,发布时间,职位特征,所需技能,申请类型,勤務時間・休日,仕事内容,給与・報酬,雇用形態,勤務地・交通
グローバルITガバナンスの中核!多様な経験を積む「ITガバナンス,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l867e282102fb12e5ee6a8697a860af8d&p=t%2BAK7k0GmMUr0ZRss/MBm/ivRCvXV6uzfXDjWYxzB9SgbqkduX11Sz6AUmNVLPnGJwuwhXxTmeesUCcgPt36LQ%2Bf6DkuB%2BuBT466X1tsR7M0z2TJ5yHnGSn0/6YwKsmjDocb8ON58EowAxhyyIQpTxvyCwG3h2xSMcn4DmUB02TMODoO2wb5GEh/gWVsYl6LZoWtSYJSfV5r6wzmRxvD4wdnHptqpqhQ6zEyfmIZxsM9AVyO4FQJt43jaSymL3D2CgEkGAgvB7mbLjWA67ptOAUMbMJSNAbyUpAaDpVsw3WwSQjXI0PqQ4g60WwPjLemrDyK2FMp0ujb44FOSms5gFyhBkp9VwPQZbH%2BvgSoS0GNyJJ8SO7VjYe4ZG7tSELd6Lg31eTNlUX%2BSn4L8N8TAQ%2BvLRWTA/LnhsnYlkkcO35MuFrvq7imYCjZ7lzQQKngdNEydmqpXx4zB%2BO7kTXcMW9RQlU4Hb4gOw1Apc8KD0o%3D&ph=5ef9f518baf8&phv=1,楽天グループ株式会社,東京都,年収600万円～900万円,【仕事内容】<職種>IT技術職>情報システム・社内SE<業種>IT・インターネット>インターネットサービス,未指定,4日前,"在宅ワーク, 英語活用, 1000人以上, ストックオプション, 産休・育休, 禁煙・分煙, PowerPoint","英語, PowerPoint",通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
社内IT 日本サイトサポート Local site support,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l889413f09ce30542eb2f53db786a0e1e&p=t%2BAK7k0GmMUr0ZRss/MBmwicxaP8va/yuZf7/e1NStPBNRpV/JUBbhF0iAiAaeGPUNTEFFBSKEo481R2jodsmQ%2Bf6DkuB%2BuBT466X1tsR7PA67GxsCOlx1ngntZ7y9j3Docb8ON58EowAxhyyIQpTxvyCwG3h2xSMcn4DmUB02TMODoO2wb5GEh/gWVsYl6LZoWtSYJSfV5r6wzmRxvD4wdnHptqpqhQ6zEyfmIZxsOBVKeGQ2HDFH4vzOX929bJ2r4Dvq%2Bqv5JYs5mfAHtmzwUMbMJSNAbyUpAaDpVsw3WwSQjXI0PqQ4g60WwPjLemrDyK2FMp0ujb44FOSms5gCkzlgCn8GrsT3W8YFzFW5x9%2BzVTo%2BhKyAfyLYZB2RAdicRgyfm6n8QmW0xkM3JBWLwRyn2ibm6r4bXBQX4OUJj2BCGFfC4wTCrZudhJrHD2JjClpif/8/RLGHqTzCpiRbCGG3HYmGYW8pn5Sj%2Bk6Qs%3D&ph=7b79c3afb5da&phv=1,カールツァイス株式会社,東京都,年収400万円～600万円,【仕事内容】<職種>IT技術職>情報システム・社内SE<業種>メーカー>精密・計測機器 【経験・資格】<必須(MUST)>英語を使用してアジアのチームと共に日本の7拠点のITのサポートをしてもらいたいので...,未指定,10時間前,"在宅ワーク, 女性活躍, 英語活用, 年休120日～, フレックス制, 産休・育休, 資格取得支援","資格, 英語",通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
社内SE／IT推進担当リーダー候補,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=la455c40c7d353bcf8b570bd74a307d08&p=t%2BAK7k0GmMUr0ZRss/MBmxVtgn8LuMEUrQivEaKHQyjcaPq8MJKyczoVaSqYRONZqnRWmttRaL5Oha0%2B2bzNlQ%2Bf6DkuB%2BuBT466X1tsR7PjVZtMp%2BVy/jJ507MizcVwDocb8ON58EowAxhyyIQpTxvyCwG3h2xSMcn4DmUB02TMODoO2wb5GEh/gWVsYl6LZoWtSYJSfV5r6wzmRxvD4wdnHptqpqhQ6zEyfmIZxsOuWNFLZjhzWyteIvCRrVau4VOQydHLG4iKp8GWuvCeIwUMbMJSNAbyUpAaDpVsw3WwSQjXI0PqQ4g60WwPjLemrDyK2FMp0ujb44FOSms5gDKfCwzwWzjA36fGHcbSdcaowUnWPKb5qYXbprpHlfEKIsLbsAzWkW36gPd/hIWWuIPIXoJk3lyxKoKPzkG7K7ef1ogODXt/CPtQIlJ8LqUG0YtRRqAnZwot1bZsDPih1L/9V5POhKIOlo3D9/6CES4drFljVp0gndgsTxmn2BKh&ph=05d240a1c384&phv=1,株式会社セゾンテクノロジー,東京都,年収600万円～700万円,【仕事内容】<職種>IT技術職>情報システム・社内SE<業種>IT・インターネット>ソフトウエア...流通ITサービス事業 フィナンシャルITサービス事業<当社について>...,正社員,4日前,"在宅ワーク, 週休2日, シェア上位, データ分析, フレックス制, 研修あり, 交通費",データ分析,通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
キャリアチェンジ歓迎「ITエンジニア」KDDI・三井物産の安定基盤と福...,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=ld3bc13c8d7bec6d9d17b4c3f1d1230ed&p=t%2BAK7k0GmMUr0ZRss/MBm0EGM0T5XYH3H%2BnH0Kxv7XFaZ337IDRCqcgBRtUM4B1Gy5qYfXv0mq02PcbZ%2BG4s/w%2Bf6DkuB%2BuBT466X1tsR7Oun3I299gysQvsSX0/GOxCDocb8ON58EowAxhyyIQpTxvyCwG3h2xSMcn4DmUB02TMODoO2wb5GEh/gWVsYl6LZoWtSYJSfV5r6wzmRxvD4wdnHptqpqhQ6zEyfmIZxsPCTiVS/PFDtUnyQOap2/Y2PfzYJ%2BgEzwHaLwQPGpUk1wUMbMJSNAbyUpAaDpVsw3WwSQjXI0PqQ4g60WwPjLemrDyK2FMp0ujb44FOSms5gLp9AiMWp9jOpd0C9LRgUl/IG%2BcqMTHmELnt7o4YQlO4aVSW8ollYrTNsOb5OO4D28PXVa772E3mk81skGSd1bT8W%2BLB7H9EmICeex8NMlpFHSc9vAzth7kOPdzA7LUQt1PLG77STd8w6wMYXVRbCRvVz3E2VPoD6dqOdnpz2z6s&ph=72a38ba115fe&phv=1,アルティウスリンク株式会社,東京都,年収400万円～500万円,【仕事内容】<職種>IT技術職>インフラエンジニア<業種>IT・インターネット>インターネットサービス,未指定,10時間前,"在宅ワーク, 昇給あり, 夜勤あり, 年休120日～, 1000人以上, 産休・育休, 短時間OK",未指定,通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
2027新卒限定／ITセールス職,https://xn--pckua2a7gp15o89zb.com/jb/39a1e68bd48b12e84b552cadf5ceae8f,株式会社エニプラ,東京都,年収300万円,そんなエニプラITセールス職に求められるのは、「ヒアリング力」と「コミュニケーション力」そして「情報収集力」です。,正社員,1日前,"特別休暇, 社保完備, 禁煙・分煙, 週休2日, 産休・育休",未指定,かんたん応募,"9：00～18：00
所定労働時間8時間（休憩60分）
固定（一般的な勤務時間）
完全週休2日（土曜、日曜）
祝日
年末年始、夏季休暇
年次有給休暇（10日〜勤続年数に応じて最大20日）
慶弔休暇
特別休暇（コミケ休・趣味休暇・恋愛休暇・失恋休暇）
産休・育休・介護休
振替休日制度
有給推奨日（月22日以上の出勤日数が見込まれる場合、1日好きな日に休めます）",暂无信息,"年収
3,000,000円
3,500,000円
社会保険完備
賞与年2回（10月、3月）
昇給年1回

資格合格報奨金
資格試験費用補助
懇親会費補助
書籍購入費補助
セミナー補助",正社員,東京都日本橋馬喰町2-3-3 秋葉原ファーストスクエア5階
DX推進全社ITインフラ企画・導入／大崎25-003,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l00235176904f254067510f3bc48f763f&p=t%2BAK7k0GmMUr0ZRss/MBm/iCc9ZnrYCgF%2BVY3G0DDTYhMGQdAgZaPG4NanvvosroFmsh6rK/tKCS/d3SXcofQA%2Bf6DkuB%2BuBT466X1tsR7MiRR4uf0OBDtzuhc4B5rRFDocb8ON58EowAxhyyIQpTxvyCwG3h2xSMcn4DmUB02TMODoO2wb5GEh/gWVsYl6LZoWtSYJSfV5r6wzmRxvD4wdnHptqpqhQ6zEyfmIZxsM40ZF2KWDvmGSeI4dTtOUuCAFoRQswjGgkP/J03wss2gUMbMJSNAbyUpAaDpVsw3WwSQjXI0PqQ4g60WwPjLemrDyK2FMp0ujb44FOSms5gK5QQoqfyu1iX16D0wRVDdk2BYFnK%2BGB0RSK60/XPWkhMzp9xGtVKN%2BCvWVCIRfaLTKAypyl6P17XmGOJh4pKMfp7kp1nPhO2Wmt1QjRdvApDo/UQT6f/MCPItBQJ4a%2BjToZdGC9RCS55w7wmFWx0qxLyZwMiUqvEfLkr01%2BnQ5/S692GwRE3qiSXHeaUTmUqQ%3D%3D&ph=d65511d7725c&phv=1,日本精工株式会社,東京都,"年収800万円～1,000万円",【仕事内容】<職種>IT技術職>インフラエンジニア<業種>メーカー>機械...ミッション・目指す姿NSKグループ全体のITインフラについて...,未指定,4日前,"在宅ワーク, 英語活用, 固定給, Azure, 転勤なし, 食事補助, Linux","Azure, 英語, Linux",通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
IT シニアアプリケーションリード,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l36eaa0b06f1b7994474fae82325c2283&p=t%2BAK7k0GmMUr0ZRss/MBm2axVzXkOYZyJrdKQmWzYAeBCuaaJPPqPUSwdeb07kLqikO9EyV/qf1Xy2O%2B2UhIbw%2Bf6DkuB%2BuBT466X1tsR7NEM9e7fqNdsw7vg6FR8V2UDocb8ON58EowAxhyyIQpTxvyCwG3h2xSMcn4DmUB02TMODoO2wb5GEh/gWVsYl6LZoWtSYJSfV5r6wzmRxvD4wdnHptqpqhQ6zEyfmIZxsNNGHzlcFoJcqMBl84uTK9Nufp7KHnZGaPJxNo1v8RF/QUMbMJSNAbyUpAaDpVsw3WwSQjXI0PqQ4g60WwPjLemrDyK2FMp0ujb44FOSms5gCPhYm8s/5tE18A8wJnA45C6jZ4p87In99ZQDfwOOSdI/Fviwex/RJiAnnsfDTJaRR0nPbwM7Ye5Dj3cwOy1ELfGw3gmNS7qXjI1/0TMxdGnFC3c87tFqFihCaOVqVOcww%3D%3D&ph=ebf74684093e&phv=1,メルセデス・ベンツ日本合同会社,千葉県,年収600万円～900万円,【仕事内容】<職種>IT技術職>情報システム・社内SE<業種>メーカー>自動車・自動車部品...-ビジネスデマンドを元に、メルセデス・ベンツ標準要求に沿ったITソリューションの設計...,未指定,10時間前,"在宅ワーク, 英語活用, 女性活躍, 年休120日～, 交渉スキル, 産休・育休, シェア上位",英語,通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
コーポレートIT担当,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l6ae57646a104a2aa374153316fcf7780&p=t%2BAK7k0GmMUr0ZRss/MBmxprjA9WhbuKtbo7b%2BjgxFmlEwTUV5zGlZ846lLQYlFXWRZuInQo4GPsNHBk423K9g%2Bf6DkuB%2BuBT466X1tsR7M/NwSoWum23GedpVe995mcDocb8ON58EowAxhyyIQpTxvyCwG3h2xSMcn4DmUB02TMODoO2wb5GEh/gWVsYl6LZoWtSYJSfV5r6wzmRxvD4wdnHptqpqhQ6zEyfmIZxsPZ7avYypK349gMz%2Bvd2wVu0egjEmj/goqvy0uVtH%2BYEgUMbMJSNAbyUpAaDpVsw3WwSQjXI0PqQ4g60WwPjLemrDyK2FMp0ujb44FOSms5gF/EYU3losgdJN3R4/BwTDPDlRP4I0JJKMRpU8pdjsbewH%2BPxx7c2R08hvq8O0bYcLL7wrpjwRZH1oTH4lMCrtwR0rErgqWppXNXkor3/xthqaZM2jW1JRo1u3cyHEENGO1oyAFD5Vb543wrcVJdpGk%3D&ph=6ae2d6146288&phv=1,加納コーポレーション株式会社,東京都,"年収800万円～1,000万円",【仕事内容】<職種>IT技術職>情報システム・社内SE<業種>流通・小売>小売 【経験・資格】<必須(MUST)>以下いずれかのご経験のある方・社内IT部門、情報セキュリティに関連する部署での業務経験・IT全般...,未指定,4日前,"交通費, 社保完備, 賞与あり, 週休2日, 制服あり, 昇給あり, 食事補助",資格,通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
社内ITエンジニア／会社のIT基盤を一緒に作りませんか?／クラウド・SaaS・セキュリティ対応,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lbc9d7ac280c29df3a5d8609c452155eb&p=t%2BAK7k0GmMUr0ZRss/MBm%2BG4K82YHFxR0NTm%2BCPpwuPZpFacJfZgVjJR6fldgXbU57R1CbBLhYIxwW6ntH%2B0YZ/O81UF3iUb99fkxRIgTTz5n5JcUE/Wz5Xr0/xvzK3QIjMI24e5ckRXzZ5Q%2Btn4AqFBQPIzGtX2OvBe1qhXvz7RBbumC3ePvORGEvwGOCxZ6EPZFhNUVkI2Id/w7DaFByn250JlhHD10%2BRqCOJWqezScfFELqMOANKvqyRCHUK9jtFAhUcbL7ck/HFBAX3SygGQW12sxwm2i75C5ypaoANzm9%2BNXtkU1Y0IFBv9WsWLG4UuJxeHGqFT8TbaTq3t3HEGvvSan9qMuGjOH3BXm7G1nNqdJ4tF39weTn4Tdcp3nhiagjGngHBciKtS0lrYAO%2BBjUMpMSuDyRCmWhqHnVZ7rLYgm7g6xonRlTZa5gPk9FkLuVyODiSct0yU6hpg3z12cfxpPEdXWHb40bPYUqw%3D&ph=d230e749531d&phv=1,株式会社ten,福岡県 福岡市 赤坂駅 徒歩3分,"月給41万7,000円",【仕事内容】具体的には、以下の業務を想定しています。・PCやIT機器の選定・導入・管理・社内からのIT関連の問い合わせ対応(ヘルプデス...,正社員,1日前,"スキル身に付く, 駅チカ, 禁煙・分煙, 社保完備, 託児所あり, 産休・育休, 研修あり",未指定,かんたん応募,"月単位の変形労働制7：00～20：00の間で8時間程度の勤務多くの社員が9：00～18：00の時間帯で働いています。変形労働時間制のため、上記時間内であれば何時に出勤してもかまいません。
年間休日108日本社部門は基本的には土日祝の休みにしており変形労働時間制を活用して実質は120日の休みの方が多いです。年末年始休暇、慶弔休暇、有給休暇 等変形労働時間制のため、月間の労働時間さえ担保すれば何曜日に休んでもかまいません。本社部門は基本的には土日祝の休みです。",暂无信息,"月給
417,000円
500,000円
想定年収：5,004,000円～6,000,000円月給：417,000円～500,000円（固定残業手当20時間を含む）賞与：無（決算賞与）基本給：150,000円役職手当：0円職能手当：210,800円～282,600円固定残業手当（20時間）：56,200円～67,400円※知識・経験に応じて決定いたします。※昇給あり（年1回）
・退職金制度(勤続1年以上)・産休育休制度あり、託児所あり
社会保険完備(健康・厚生年金・雇用・労災)","正社員
なし
なし","福岡県
福岡県福岡市中央区舞鶴1丁目1-27基本的には出社となります。
会社の定める事業所
地下鉄　赤坂駅より徒歩3分"
第二新卒歓迎／DXコンサルタント／ITの観点からクライアントの生産性向...,https://xn--pckua2a7gp15o89zb.com/jb/7bb039a738689a35e2a5e3fcf43d2415,セレンディップ・ホールディングス株式会社,愛知県 名古屋市 伏見駅 徒歩5分,年収400万円,【仕事内容/この仕事のミッション】ITコンサルタントとして、経営課題の解決をITの観点で支援していただきます。...その他ITリテラシー教育やコンプラ研修実施、ITツールを用いた自発的学習機械あり...,正社員,1日前,"未経験OK, 在宅ワーク, 服装自由, 土日祝休, 特別休暇, 短時間OK, 禁煙・分煙",未指定,かんたん応募,"9:00:00
18:00:00
・平均残業時間：20時間
・出張あり。頻度や長さはプロジェクトにより変わります。
土日祝休み
125
夏季休暇, 有給休暇, 年末年始休暇, 産休・育休, 介護休暇, 特別休暇
夏季休暇2日
有給取得率70％ ※有給推奨日あり",暂无信息,"400
500
新卒のキャリアパス
1年目　アソシエイト　400万
3年目　コンサルタント　520万
５年目　シニアコンサルタント　700万
８年目マネージャー1000万
■試用期間：6ヶ月（条件の変更なし）

【賃金形態：疑似年俸制】
・基準年俸を14等分し、1/14を各月に支給し、2/14を基準として期末賞与を支給します。
・年俸に含まれる固定残業代（時間外労働20時間）を上回る残業を行った場合は差額を支給します。
・4月1日～3月31日を支給年度とします。

年俸￥4,000,000～ 
月給286,000円～
内訳
基本給￥221,700～ 固定残業代￥64,300～を含む/月
■試用期間：6ヶ月（条件の変更なし）

【賃金形態：疑似年俸制】
・基準年俸を14等分し、1/14を各月に支給し、2/14を基準として期末賞与を支給します。
・年俸に含まれる固定残業代（時間外労働20時間）を上回る残業を行った場合は差額を支給します。
・4月1日～3月31日を支給年度とします。

年俸￥4,000,000～ 
月給286,000円～
内訳
基本給￥221,700～ 固定残業代￥64,300～を含む/月
1回
２ヶ月分
交通費支給,持株会制度,社会保険完備
通勤手当（会社規定に基づき支給）、各種専門書籍購入費全額補助 、時短制度、服装自由、無料コーヒーサーバー、リモートワーク可、ストックオプション制度（一部従業員利用可）、譲渡制限付株式報酬（RS）
グループ従業員持ち株会(奨励金10%)
グループ・ストックオプション制度
譲渡制限付株式報酬（Restricted Stock）あり
♪無料コーヒーサーバー設置♪	
保養所使用可能
資格取得補助あり
書籍購入補助あり	
会社用携帯（Iphone）、会社用PC貸与		
メンター制度あり
OJT研修およびOffーJT研修あり
（コンサルタントとして必要なプロジェクトマネジメントや資料作成といったOff-JTあり）
その他ＩＴリテラシー教育やコンプラ研修実施、ITツールを用いた自発的学習機械あり
社内サークル活動あり
MBO面談を通じたキャリアパスの相談会実施",正社員,"愛知名古屋市中区
愛知県 名古屋市中区 錦1-5-11　名古屋伊藤忠ビル3F

【最寄駅】
名古屋市営地下鉄東山線 伏見駅 徒歩5分"
